,Title,Published_date,Views,Likes,Favorite,Comments,Month
83,"""Life"" में ये 3 चीजें कभी मत छोड़ना!!!",2022-06-04,72193,7969,0,104,Jun
84,Er. Manish Kashyap पहुंचे PW Pathshala !!! 🔥,2022-06-04,266571,19243,0,184,Jun
85,You can't Miss This Most Repeated Question of Maths in JEE MAIN 2022 !!! 🔥🔥,2022-06-03,24574,1701,0,296,Jun
86,MATHEMATICAL REASONING in 1 Shot | From Zero to Hero | JEE Mains & Advanced,2022-06-03,39801,1727,0,174,Jun
87,"18-20 Ghanta"" पढ़ना पड़ेगा!!💥",2022-06-03,202080,30973,0,439,Jun
88,Gravitation -15 Most Important PYQs in 1 Shot || JEE Main,2022-06-03,22913,1256,0,254,Jun
89,STATISTICS in 1 Shot | From Zero to Hero | JEE Mains & Advanced,2022-06-03,26921,1229,0,167,Jun
90,Permutations And Combinations - 15 Most Important PYQs in 1 Shot || JEE Main,2022-06-03,22146,1086,0,350,Jun
91,ALDEHYDES KETONES AND CARBOXYLIC ACIDS in 1 Shot | From Zero to Hero | JEE Mains & Advanced,2022-06-02,20838,892,0,146,Jun
92,MECHANICAL PROPERTIES OF SOLIDS in 1 Shot | From Zero to Hero | JEE Main & Advanced,2022-06-02,22061,971,0,130,Jun
93,"""Most Important Time"" समझो इस बात को 😤",2022-06-02,112368,18291,0,91,Jun
94,The Solid State - 15 Most Important PYQs in 1 Shot || JEE Main,2022-06-02,28641,1532,0,133,Jun
95,COMPLEX NUMBER (PART - 1) in 1 Shot | From Zero to Hero | JEE Mains & Advanced,2022-06-01,71262,3748,0,213,Jun
96,Shukriya Unka Jinhone Mera Dil Tor Diya🙏,2022-06-01,48346,4930,0,39,Jun
97,Redox and Equivalent Concept - 15 Most Important PYQs in 1 Shot || JEE Main,2022-06-01,16164,832,0,119,Jun
98,HYDROCARBON in 1 Shot (PART 2) | From Zero to Hero | JEE Mains & Advanced,2022-06-01,19861,1006,0,131,Jun
99,Rotational Motion - 15 Most Important PYQs in 1 Shot || JEE Main,2022-05-31,26047,1380,0,346,May
100,अपने इरादे मजबूत रखो!!!,2022-05-31,38285,4687,0,27,May
101,"ALCOHOLS, PHENOLS AND ETHERS in 1 Shot | From Zero to Hero | JEE Mains & Advanced",2022-05-30,32539,1434,0,214,May
102,"""Hardwork"" कभी ""Waste"" नहीं होता 🔥",2022-05-30,87078,11558,0,57,May
103,Complex Numbers - 15 Most Important PYQs in 1 Shot || JEE Main,2022-05-30,29851,1522,0,263,May
104,SOLUTION OF TRIANGLE in 1 Shot | From Zero to Hero | JEE Mains & Advanced,2022-05-29,43011,2548,0,80,May
105,"""Numbers"" के बारे मे मत सोचो 😰",2022-05-29,75444,10546,0,61,May
106,Know This Trick in Maths For JEE MAIN 2022🔥🔥,2022-05-29,34371,2706,0,286,May
107,Equilibrium - 15 Most Important PYQs in 1 Shot || JEE Main,2022-05-29,24753,1315,0,165,May
108,GRAVITATION in 1 Shot | From Zero to Hero | JEE Main & Advanced,2022-05-28,55406,2267,0,272,May
109,"""KAAM"" है तो, ""JEEVAN"" में नाम है!!🔥",2022-05-28,41200,5834,0,66,May
110,"Work, Energy And Power - 15 Most Important PYQs in 1 Shot || JEE Main",2022-05-28,28429,1464,0,630,May
111,Sabko ₹1000 Milega 💰 Install PW App Now 🔥,2022-05-28,27801,2164,0,58,May
112,HALOALKANES AND HALOARENES in 1 Shot | From Zero to Hero | JEE Mains & Advanced,2022-05-27,60985,3140,0,197,May
113,Ramlals Ramlals Ramlals!!!,2022-05-27,44631,3962,0,73,May
114,Quadratic Equation - 15 Most Important PYQs in 1 Shot | JEE Main,2022-05-27,39809,1951,0,241,May
115,"WORK, ENERGY AND POWER in 1 Shot | From Zero to Hero | JEE Main & Advanced",2022-05-26,40474,1840,0,214,May
116,Ab Tum Bhi IITian Banoge 🤩💪 #ShunyaSeAlakhTak,2022-05-26,57766,6463,0,74,May
117,Thermodynamics - 15 Most Important PYQs in 1 Shot || JEE Main,2022-05-26,29566,1521,0,168,May
118,INVERSE TRIGNOMETRIC FUNCTIONS in 1 Shot | From Zero to Hero | JEE Main & Advanced,2022-05-26,43369,1809,0,279,May
119,PW!!..... EK REVOLUTION 🔥 #ShunyaSeAlakhTak,2022-05-26,40550,4920,0,204,May
120,PW Sabse Unique Hai ! 🤩 #ShunyaSeAlakhTak,2022-05-25,92294,7810,0,282,May
121,PW is The Definition of Success ! 💪 #2SaalBemisaal,2022-05-25,27525,2652,0,60,May
122,Laws of Motion - 15 Most Important PYQs in 1 Shot || JEE Main,2022-05-25,39273,2102,0,759,May
123,An exciting journey with PW🤩 #ShunyaSeAlakhTak,2022-05-24,68750,10930,0,268,May
124,HYDROCARBONS in 1 Shot (PART 1) | From Zero to Hero | JEE Main & Advanced,2022-05-24,62359,2501,0,568,May
125,PW App ke Birthday 🎉 par sabko milega SURPRISE 💫 #2SaalBemisaal,2022-05-24,55464,5380,0,104,May
126,Binomial Theorem - 15 Most Important PYQs in 1 Shot || JEE Main,2022-05-24,38086,1921,0,457,May
127,Upcoming Surprise by Physics Wallah on 26th May!🎉😍 #2SaalBemisaal,2022-05-23,132958,16656,0,270,May
128,COMMUNICATION SYSTEMS in 1 Shot | From Zero to Hero | JEE Main & Advanced,2022-05-23,44001,1805,0,137,May
129,This Concept Can Get You 4 Marks For Free 😀,2022-05-23,31379,2622,0,149,May
130,States of Matter - 15 Most Important PYQs in 1 Shot || JEE Main,2022-05-23,27373,1420,0,199,May
131,TRIGONOMETRIC EQUATIONS in 1 Shot | From Zero to Hero | JEE Mains & Advanced,2022-05-22,59539,3174,0,147,May
132,ठान लो तो ठान लो ⚡,2022-05-22,63708,9211,0,70,May
133,Kinematics - 15 Most Important PYQs in 1 Shot || JEE Main,2022-05-22,48569,2750,0,609,May
134,D AND F BLOCK ELEMENTS  in 1 Shot | From Zero to Hero | JEE Main & Advanced,2022-05-21,52450,2277,0,243,May
135,😱 Madam ko bithaya बाल्टी में 😅? #shorts || PW Pathshala,2022-05-21,48455,2979,0,60,May
136,"ऐसा ""Junoon"" होना चाहिए 🌟",2022-05-21,36178,4532,0,40,May
137,Trigonometric Functions - 15 Most Important PYQs in 1 Shot || JEE Main,2022-05-21,51126,2083,0,407,May
138,"SEMICONDUCTOR in 1 Shot | Seene me Aag Lagao !! Boards, JEE Main & Advanced Teeno Niptao",2022-05-20,133047,4884,0,427,May
139,"""Pain"" से मत डरो ⚡⚡",2022-05-20,286213,33771,0,133,May
140,Structure of Atom - 15 Most Important PYQs in 1 Shot || JEE Main,2022-05-20,46111,2385,0,355,May
141,TRIGONOMETRIC RATIOS AND IDENTITIES in 1 Shot | From Zero to Hero | JEE Mains & Advanced,2022-05-19,98478,4486,0,279,May
142,"""Success"" लोगो का नजरिया बदल देगी ✨",2022-05-19,66512,9807,0,55,May
143,THE P-BLOCK ELEMENTS in 1 Shot | From Zero to Hero | JEE Main & Advanced,2022-05-18,64036,2532,0,266,May
144,Tumhari Umar Ke Bachhe Single Bache Hi Nahi Hai 😂,2022-05-18,296670,32515,0,491,May
145,SETS AND RELATIONS - 15 Most Important PYQs in 1 Shot || JEE Main,2022-05-18,60722,2992,0,1015,May
146,WAVE OPTICS in 1 Shot | From Zero to Hero | JEE Main & Advanced,2022-05-17,50502,2064,0,257,May
147,MOLE CONCEPT - 15 Most Important PYQs in 1 Shot || JEE Main,2022-05-17,82976,3542,0,416,May
148,"""Mehfil"" खुद की, चर्चे हमारे😂",2022-05-17,1504791,138788,0,205,May
149,LIMITS in 1 Shot | From Zero to Hero | JEE Main & Advanced,2022-05-16,150608,5902,0,623,May
150,Physics ने नचा 🕺 दिया 😅 #shorts || PW Pathshala,2022-05-16,55398,3293,0,30,May
151,"बेटा दिक्कत सबकी ""LIFE"" में है 😞",2022-05-16,53635,7604,0,38,May
152,"Physical World, Units, Measurements and Error - 15 Most Important PYQs in 1 Shot || JEE Main",2022-05-16,86973,5318,0,1307,May
153,METALLURGY in 1 Shot | From Zero to Hero | JEE Main & Advanced,2022-05-15,45899,2024,0,304,May
154,Bachpan की Maths 😂,2022-05-15,1581923,117166,0,905,May
155,ELECTROMAGNETIC WAVE in 1 Shot | From Zero to Hero | JEE Main & Advanced,2022-05-14,57371,2459,0,330,May
156,"कोई भी काम ""Asambhav"" नही ⚡",2022-05-14,101452,13062,0,57,May
157,FUNCTIONS in 1 Shot | From Zero to Hero | JEE Main & Advanced,2022-05-13,112178,4381,0,690,May
158,"""Ishq"" का गुरुर तोड़ेंगे 🤫",2022-05-13,60921,8367,0,124,May
159,4 Important PYQs of Vector Must to Know,2022-05-12,31506,1973,0,287,May
160,"दूसरो को ""Excuse"" देना बंद करो 😤",2022-05-12,140917,21739,0,104,May
161,CLASS mein hui PAISE ki WASOOLI🤑😅,2022-05-11,93244,8535,0,81,May
162,"""GIVE UP"" का सोच रहे हो?🤔",2022-05-11,239673,43870,0,278,May
163,Attitude वाली Girlfriend 😂,2022-05-10,69052,8717,0,116,May
164,SURFACE CHEMISTRY in 1 Shot | From Zero to Hero | JEE Main & Advanced,2022-05-09,75907,3229,0,160,May
165,These 8 MARKS Can't be Missed For JEE MAIN 2022🔥🔥,2022-05-08,131392,7951,0,367,May
166,"ALTERNATING CURRENT in 1 Shot | Seene me Aag Lagao !! Boards, JEE Main & Advanced Teeno Niptao",2022-05-07,107585,5398,0,154,May
167,Balloon फुलाने का नया तरीक़ा 😳 #shorts || PW Pathshala Janakpuri,2022-05-07,287734,12008,0,181,May
168,CHEMICAL KINETICS in 1 Shot | From Zero to Hero | JEE Main & Advanced,2022-05-06,150456,6067,0,312,May
169,4 Important PYQ’s of JEE Main & Advanced -  Relations & Functions,2022-05-06,83024,6274,0,439,May
170,SETS AND RELATION in 1 Shot | From Zero to Hero | JEE Main & Advanced,2022-05-05,112651,4788,0,265,May
171,ELECTROMAGNETIC INDUCTION in 1 Shot | From Zero to Hero | JEE Main & Advanced,2022-05-04,63323,2834,0,55,May
172,नींबू ke upar lagi AAG 🔥🔥 #PWshorts #shorts,2022-05-04,140916,8955,0,45,May
173,ELECTROCHEMISTRY in 1 Shot |  From Zero to Hero | JEE Main & Advanced,2022-05-03,118988,4979,0,269,May
174,MAGNETISM AND MATTER in 1 Shot | From Zero to Hero | JEE Main & Advanced,2022-05-01,112483,5613,0,141,May
175,Apni Qismat Khud Likho ⚡,2022-05-01,56778,7089,0,47,May
176,DIFFERENTIAL EQUATIONS in 1 Shot | From Zero to Hero | JEE Main & Advanced,2022-04-30,183348,7786,0,320,Apr
177,Lage 440 Volt Chunne se Tere😂,2022-04-30,204370,10389,0,67,Apr
178,Exam Ke Ek Din Phle Kya 🌝,2022-04-30,349660,35255,0,138,Apr
179,You're BORN to Fire 🔥,2022-04-29,361221,38527,0,154,Apr
180,PERMUTATIONS AND COMBINATIONS in 1 Shot (PART - 2) | From Zero to Hero | JEE Mains & Advanced,2022-04-28,80244,3282,0,398,Apr
